std,Error_blazeOpen_par_mvt,Error_KintOpen_par_mvt,Error_blazeKint_sansP_par_mvt,Error_blazeKint_avecP_par_mvt
Head,0.1513,0.0589,0.161,0.1998
mShoulder,0.1447,nan,0.1437,0.1437
rShoulder,0.145,0.0368,0.127,0.1499
rElbow,0.1705,0.1193,0.1636,0.2469
rWrist,0.2027,0.1995,0.2194,0.3335
lShoulder,0.1488,0.0367,0.169,0.1884
lElbow,0.1706,0.1174,0.2215,0.2856
lWrist,0.1958,0.1991,0.2735,0.3698
rHip,0.1378,0.2163,0.2773,0.2953
rKnee,0.1388,0.3734,0.405,0.4669
rAnkle,0.1373,0.6661,0.683,0.7374
lHip,0.1377,0.2162,0.2932,0.3118
lKnee,0.1362,0.3743,0.4378,0.4868
lAnkle,0.133,0.6673,0.7063,0.7527
average,0.153585714,0.252407692,0.305807143,0.354892857
